label,text,index
0,"nonni vaccinati, sono un po’ più sollevata❤️",0
2,"""ci stanno somministrando un vaccino ancora in sperimentazione, secondo l'agenzia del farmaco cinese è potenzialmente pericoloso"" ▷ prof. leopardi link",1
1,vaccino o certificato di negatività per chi arriva in sardegna: la proposta link,2
0,user user user user_kuzzo cosa c’è di non chiaro nell’affermazione “i vaccini non proteggono dal contagio ma da sviluppo di forme di malattia gravi / morte” iniziate a sembrare seriamente deficienti a riportare ste notizie.,3
2,user finitela di fare disinformazione! in ospedale oltre al #greenpass richiedono tampone negativo per assistenza post-parto… quind il vs. #greenpass e le vs. vaccinazioni non servono ad un cazzo!,4
0,"fra le simpatiche terapie domiciliari che ultimamente vantano i no-vax spicca l'uso dell'ivermectina un antiparassitario per cavalli e vacche. se posso permettermi, vi consiglio frontline, cosi terrete lontani oltre al covid-19 anche pulci, zecche e pidocchi masticatori. 😬😉 link",5
1,"asl avellino. sospensione attività’ centri vaccinali nella giornata di domani, lunedì riprendono le vaccinazioni - link link",6
1,"""arrivano da firenze e cremona i primi indagati ‘no vax’. l’accusa formulata dal magistrato nei confronti di un 66enne lombardo è chiaro: “istigazione alla disobbedienza delle leggi, di ordine pubblico, in vigore a tutela della salute pubblica nel periodo di emergenza pandemica.",7
0,"«sono un ragazzo vaccinato», jovanotti gioisce su facebook link",8
0,i migliori vaccini sono darwiniani link #mondo,9
0,ma quindi abbiamo davvero bloccato un vaccino per 30 trombosi su 5 milioni di vaccinati? #astrazeneca,10
1,"user user user_claudio un virus muta in modo casuale a prescindere dai vaccini, e le varianti più contagiose diventano dominanti. le vaccinazioni sono iniziate in uk in dicembre, link la variante alpha fu scoperta in novembre da campione preso in settembre. link",11
0,user user gli operatori sanitari novax debbono essere licenziati in tronco per evitare rischi per gli altri,12
2,"ecco la prima denuncia contro la rai per la disinformazione su vaccini e cure domiciliari"" link 8",13
2,"io non deploro chi si inocula il siero, se poi muoiono comunque di covid o di nessuna correlazione mi dispiace per loro. #sottilidifferenze",14
0,iniziate vaccinazioni over 70. finalmente! #toscana #vaccini,15
1,"queste che vedete in fila sotto la pioggia sono decine di soggetti fragili in attesa del vaccino in fiera. basterebbero un paio di gazebo, ma la ⁦user⁩ dov’è? #palermo #sicilia #vaccini  link",16
1,"ristoranti, calcetto, pass vaccinale, mense scolastiche: al #cts i nodi da sciogliere in vista delle riaperture del #26aprile so' problemi #vaccini #covid19italia",17
1,il vaccino di johnson  link via user,18
0,#quellavoltachedraghi trovò un neurone nel cranio di un novax,19
2,i pazzi under 50 che si fanno astrazeneca vanno fermati! governo di assassini!!!,20
0,"user l'unica (magra) consolazione che mi da questa psicosi, è che presumibilmente la data della mia vaccinazione dovrebbe avvicinarsi in modo consistente per le  rinunce che arriveranno",21
0,"vaccini fuori lista, in procura a bari primi interrogatori. il legale: ""sono stati chiamati, nessuno ha saltato la fila"" link  vergogna #infiltrati e #saltafila!!!",22
1,"user una domanda, come mai il contatore delle vaccinazioni riporta una cifra di circa un milione di somministrazioni prime dosi in più rispetto alle statistiche ufficiali?",23
2,"user ""forzare"", il governo e le istituzioni vogliono forzare un vaccino sperimentale e pericoloso nelle persone. buttate fuori questi delinquenti fascisti!!!",24
2,user user zone rosse ora con questo caldo. l'anno scorso i vaccini non c'erano e ora che ci sono è la stessa minestra. ma andate a caxare.,25
2,"#nessunacorrelazione, quindi #vaccinoaigiornalisti che hanno sempre sostenuto l'obbligo.",26
0,impoante risoluzione del consiglio d’europa : vaccini per tutti senza discriminazioni di ogni genere link,27
0,"user si ok, è un intimidazione un abuso una via di mezzo, ma in realta se ho capito lei ha criticato il generale responsabile della logistica dell approvvigionamento vaccini perché non vuole vedere le divise, che è assurdo perché ora i vaccini circolano meglio",28
2,user_sibari user allora mi dica il vaccino e autorizzato alla vendita in emergenza ma rimane sperimentale fino al 2023  un obbligo da parte dello stato impone che lo stato stesso si faccia carico di eventuali danni rendendo superfluo il consenso firmato  chi pagherà?,29
1,"vaccini: ruffo (sissa), ancora in attesa comunicazione asugi. università trieste e udine già informati, cominceranno giovedì #ansa link",30
0,"cari novax “ libertà di scelta”,  la vostra libertà finisce dove incomincia la mia di non essere contagiata da voi #novax",31
0,"i #vaccini slegano l’andamento dei contagi da quello dei morti. vedremo il prosieguo, ma l’effetto comincia ad essere evidente. #variantedelta russia 13% uk 63% 1st dose 1st dose link",32
2,"user user basta analizzare le percentuali di non letalità del covid e quelle di garanzia dei vaccini, sono simili. vuole dire che i vaccini non cambieranno la situazione, e lo stiamo già vedendo nei fatti",33
0,"il presidente mattarella è intervenuto alla convention annuale di comunione e liberazione. si è espresso in modo netto sui vaccini, ricordando anche le parole di papa francesco. #covid19 #vaccinilink",34
2,user_official 😁😁😁😁😁sapete quante varianti devono ancora uscire  parecchie e una cosa grave ///i vaccini non riescono ad anticipare perché è impossibile bloccare il mondo! !!!,35
0,vaccinato questa mattina 08 00  prima dose con  pftruser  puffazer..... pitzifur  pizziffer   vabbe' so vaccinato 😂😂😂😂  #pfizervaccine,36
1,"#vaccini anti #covid19 in italia, dosi somministrate su base quotidiana.dosi somministrate il 11/05/2021 : 429.134 media mobile a 7 giorni: 465.570 #covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link",37
2,"mia cugina, fatto il vaccino 5 giorni fa questa notte trasportata in ospedale e deceduta. proviene da un ceppo familiare che vive 100 anni. nessuna patologia, sportiva, ballava, rideva , ma non ha voluto ascoltarmi voleva essere libera con il vaccino. amen link",38
1,"vaccini lazio, al via 'open week' astrazeneca per maggiorenni - adnkronos link",39
1,"user user_it user user gentile sig. #calenda, spiace vedere che pur di farsi pubblicità lei sia disposto a scendere a così bassi livelli. non può non capire che la frase ""il vaccino rende liberi"" è davvero infelice. protesti contro coloro che la utilizzano, non contro chi ne fa notare l'inadeguatezza.",40
2,user user user chi è vaccinato può infettarsi e trasmettere il virus su questo non ci piove. con il gp uno non fa più controlli per 8/12 mesi perché pensa di essere sano. la soluzione sono i tamponi salivari rapidi. dal 7 agosto l'aifa ha riconosciuto l'uso delle monoclinali per la cura.,41
1,user_maffi user a tg lombardia conferenza stampa prima regione a raggiungere 1 milione di vaccinati,42
1,"rivolto a chi si riconosce! brutti stronzi! adesso che la lombardia e le regioni di destra sono prime nelle vaccinazioni, non dite più nulla? link",43
2,"coloro che ci hanno messo paura a causa del covid, sono gli stessi che ci vogliono imporre la somministrazione del vaccino link",44
1,"user mi piacerebbe essere contadino in ogni caso in una comunità si può esprimere il proprio gradimento o critica. e in una comunità europea non ha senso che ogni nazione vada per la sua strada tra vaccinazioni e chiusure. ci vorrebbe uniformità,oppure ciao europa",45
0,user spero che facciate i complimenti anche alla regione lazio dato che ha gestito le vaccinazioni meglio di tutti .... diciamo un bravo a zingaretti,46
0,grandissimi pezzi di ce🚽sse unitamente a tutti i 🍒oni no vax che vivete nella nostra sicilia--  ci siete riusciti siamo primi per contagi e ultimi per vaccinazioni da lunedì 30 saremo di un bel colore giallo! guardatevi allo specchio e ….🤧🤧 link,47
2,"107 euro al mese in più per fare da cavie. perugia, poliziotta 43enne ricoverata dopo il vaccino astrazeneca link",48
1,"covid, uno studio conferma: l’efficacia del vaccino mrna cala in 6 mesi link #saluteinforma #salute link",49
0,"user user_ casa di riposo di mia madre: il primo piano è in quarantena perchè un oss non si è vaccinato e ha contratto il covid. mia cugina, che opera nel settore, mi ha detto che circa il 40% dei sanitari non è vaccinato..",50
0,difficile per ora fare previsioni #covid19. di certo con la vaccinazione le nostre abitudini potranno tornare ad una nuova normalità molto più agibile della presente link,51
1,user la roba del contact tracing va avanti da mesi. è una vergogna ma adesso la colpa ce l'ha pure il governo. non puoi aprire tutto e poi imporre quarantena per i vaccinati. è un controsenso,52
0,le farmacie veronesi sono tra le più virtuose a livello regionale per numero di inoculazioni effettuate: 3637 le dosi somministrate dall'inizio della campagna. vecchioni: «soddisfatti dell'apprezzamento da parte della popolazione». leggi sul sito: link,53
1,"i 2 decessi registrati oggi si riferiscono a • 2 donne di 80 e 83 annierano residenti a scandiano e vetto d'enza 💉ieri sono state vaccinate 1.141 persone, oggi ne erano programmate 750",54
1,user user user user_italia qui il contenuto della interrogazione a firma armando siri e alberto bagnai al ministro speranza sui vaccini. link,55
2,quando la finiranno di dire falsità? l'hosempre detto e sostenuto. 1 il vaccino per virus che mutano non serve. 2 il #covid19 si cura benissimo a casa 3 siamo comunque al 70% di vaccinati ma in pratica siamo messi peggio della scorsa estate?liberi tutti! link,56
2,“i vaccini vanno ritirati! abbiamo scoperto che mancano presupposti per metterli in commercio” ▷ avv. holzeisen link via user,57
1,"vaccini in sardegna, ieri oltre 13 mila somministrazioni e 60 mila prenotazioni link",58
1,"15 milioni di dosi di vaccino j&amp;j buttati per un errore umano. il tecnico di laboratorio minimizza: "" ho mischiato pfizer, j&amp;j, soda, lime e vodka e a me sembrava buono""",59
1,covid. al via due studi dell’iss per il monitoraggio immunologico post vaccinazione in italia link,60
0,"burioni espatria: ""se costretti a chiudere per colpa dei no-vax me ne vado in francia"" | il primato nazionale link",61
1,"su circa 10,7 milioni di prime dosi del vaccino #pfizer 9,7 milioni di dosi del vaccino #astrazenaca e circa 0,8 milioni di seconde dosi di vaccino pfizer. quindi, i dati di tali effetti collaterali di astrazeneca non si discostano molto da quelli di pfizer.",62
1,"link ministero della salute, rezza: ""immunità di gregge quando avremo vaccinato il 67% della popolazione""",63
1,"user ci vorrebbe onestà intellettuale di non limitare alla "" destra "" le pulsioni no vax di questo paese . erano organici ai 5 stelle unial , bonafede , taverna , barillari , conte . nn ricordate nulla ? #lamemoriadelcriceto",64
0,𝐒𝐞𝐧𝐭𝐢𝐫𝐬𝐢 𝐫𝐞𝐬𝐩𝐨𝐧𝐬𝐚𝐛𝐢𝐥𝐢  per se e per gli altri! lo stato italiano e la situazione storica ci chiedono e ci impongono la #responsabilita attraverso la chiamata alla vaccinazione di massa.  #vaccini #covid19 #governoitaliano #pandemia  link,65
2,byoblu:aumento delle infezione nei vaccinati. la svezia vieta l’ingresso agli israeliani   link 28,66
1,"da lunedì 7 giugno verrà sospesa l'#attività per la somministrazione del vaccino anti-#covid presso l'#ambulatorio distrettuale della asl 3 in via xii ottobre a #genova. l’attività #vaccinale, si legge nella nota dell'#asl, “proseguirà presso l’#hub della #fiera del #mare. link",67
2,user user sul fatto che gli italiani non siano popolo bue ho molte riserve. gente disposta a farsi vaccinare anche con l’acquaragia pur di andare in vacanza “immunizzati” e già pronti a sacrificare anche i loro figli sull’altare del dio vax. popolo bue anche troppo poco per sta gente ..,68
1,campagna vaccinazione in cina: oltre 2 mld dosi somministrate   video link,69
1,"#vaccini, l'italia procede a rilento? com'è la situazione in altri paesi #ue? ora su user: fabrizio pregliasco user, don pietro sigurani e user_anfossi di user_cristiana. link link",70
1,"user regione marche: liste  per caregiver ad oggi, per i comuni disabili gravi, ancora non aperte, stando al sito della regione, ma  i furbetti del vaccino (es. un avvocato),  sono stati vaccinati nei giorni scorsi pronunciando semplicemente la parola “caregiver”.",71
1,"11) banco informazioni, ti danno un modulo ""lo compilo e glielo dò adesso?"" 12) ti fanno prendere appuntamento dal sito 13) complimenti ha un appuntamento per consegnare il modulo fra un mese. 14) la pandemia è finita, non ho la tessera sanitaria e non ho ancora il vaccino",72
1,voi vi lamentate dei #novax ma al mondo ci sono persone che in tre ordinano una bottiglia di vino da 0.375... #cuccioli,73
2,"user user__ no, sono sperimentali, leggi il bugiardino e vedrai cosa scrivono. sono vaccini sperimentali somministrati in larga scala per via della pandemia.",74
2,"user user questo lo potremo dire con sicurezza in autunno,nessuno in questo momento mi sta garantendo che il vaccino funziona,i dati dell'anno scorso in questo periodo non sono tanto diversi",75
0,"# user: covid, figliuolo: ""obiettivo tutti vaccinati entro l'estate"" link",76
2,pioggia di miliardi un anno fa vaccini a raffica oggi imprese pochi euro e al collasso vaccini niente ma ci rendiamo conto di quanto sti personaggi mantenuti da noi ci prendono per il culo intanto città invase da clandestini spacciatori??,77
2,user tranqi che col vaccino ci dimezzano,78
2,"per la cronaca e come volevasi dimostrare, la figlia del mio collega, ieri, è risultata positiva. ora andate a quel paese voi e il vostro vaccino.",79
1,user insomma ho fatto il vaccino e comincia a farmi molto male il braccio quindi ho messo del ghiaccio è per questo che rispondo ora scusami,80
1,"#vaccini domani, 5 maggio, sul portale della regione #toscana aprono le agende per prenotare il johnson&amp;johnson per chi ha più di 65 anni link user",81
2,user user user user non so in quanti sopravviveremo a  altri due anni di vaccini !!??!?😱😱😱… e lo avevano detto …siamo in troppi al mondo😡😤😤,82
1,covid-19. oggi 1.712 dosi di vaccino somministrate dall’ asl di avellino. – retesei | link link,83
1,"“a palermo c’è una evidente escalation dei contagi, in particolare per la diffusione delle varianti, più aggressive. abbiamo i primi casi di virus in soggetti già vaccinati.""",84
0,. user qualcuno lo fermi perché ha perso il lume della ragione e lo dico da convinta sostenitrice dei vaccini,85
2,"studio scientifico vaccini covid-19 .. forte risposta immunitaria infiammatoria, compresi polmoni e fegato ..... affaticamento, mal di testa, brividi, dolori muscolari, febbre e dolori articolari ..... intense reazioni infiammatorie e trombotiche ..link",86
1,user user_iacoboni la metà dei no-vax che ho tra i contatti è grillina,87
1,piano vaccini | la preoccupazione dei medici di base | «sui pazienti fragili c'è il rischio di una giungla delle priorità» – l'intervista link,88
2,tutti leoni e poi si cagano sotto...e fanno le corse per fare il vaccino,89
2,"cosa succederà? i dati #covid miglioreranno ancora e beccamorto user frenerà, incatenando e chiudendo il paese con l’avallo di user_chigi che la mena con i #vaccini. a quel punto user reagirà? di sicuro il popolo insorgerà furiosamente. #dittaturasanitaria",90
1,in arrivo i primi 40 mila green pass per i valdostani vaccinati contro il covid link,91
0,per l'ottimo andamento della campagna vaccinale voglio ringraziare marco travaglio. ogni sua lacrima sono sui 50mila vaccinati in più,92
2,"user user user user guarda che è pieno di fully vaxxed che si beccano il covid lo stesso. se poi ci aggiungi gli effetti avversi...vedremo da ottobre contro le varianti, quale sarà la reale efficacia. in gb stanno già aumentando i casi e hanno un numero di vaccinati altissimo.",93
0,"via libera dell’ema, il vaccino astrazeneca è sicuro ed efficace link",94
2,"brutti ignoranti buzzurri, la cura è una sola(o sóla) il vaccino, anche se non funziona.",95
1,"le spie non sono solo nei film. lo dimostra la vicenda dell’ufficiale arrestato mentre passava ai russi documenti riservati. atto ostile, dice la farnesina mentre mosca minaccia ritorsioni cioè l’espulsione di qualche nostro diplomatico. putin non vende solo vaccini sputnik... link",96
2,"user user i testimonial come lui  e  affini dovrebbe pubblicare i titoli anticorpali prima e dopo il vaccino. così, giusto per confermare che sbadatamente  loro non abbiano ricevuto il placebo .lo facciamo perché ci teniamo tanto alla loro salute e alla scienza",97
1,appena ha saputo che non poteva entrare alla sagra della porchetta o al papeta #salvini si è vaccinato stamattina a milano - cronaca - ansa link,98
2,"user ""il vaccino è il futuro""""mi farei iniettare anche petrolio pur di poter tornare libero""questi sono due esempi di cose che hanno udito le mie povere orecchie",99
1,#vaccinicovid   vaccini e rischio trombosi: dimezzare le dosi potrebbe ridurre i rischi link via user,100
1,user le persone che rientrano nelle categorie definite fragili in che modo possono accedere al vaccino prima degli altri?nessuno lo dice!,101
2,il vaccino lo farei a loro! veramente è non per finta! 👎👎👎,102
1,"vaccini covid lombardia, moratti: “i pazienti vulnerabili possono aderire con il sito delle poste” link",103
2,"covid, la pediatra angelina farella: “pensare di sottoporre i bambini a questo tipo di vaccini è un crimine”: link",104
1,"#vaccini anti #covid19 in italia, aggiornamento del 11/04/2021 ore 11:28 andamento delle somministrazioni per classe di età. #covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link",105
1,pfizer sta pensando di adattare il nuovo richiamo alle varianti.,106
2,"basta dittatura❗️, [24 lug 2021 alle 21:52] covid, codacons chiede oggi ufficialmente la radiazione dall'albo per roberto burioni, che in un post ha definito ‘sorci’ coloro che non si sottopongono al vaccino augurando agli stessi gli ‘arresti domiciliari  link link",107
1,vaccini a pasquetta quasi 148 mila vaccinazioni. il 20% delle dosi ancora nei frigoriferi delle regioni - #vaccini #pasquetta #quasi link link,108
2,i dati che preoccupano l’inventore del vaccino mrna (imprtanti e vietati ai virologi da tv) link #news #feedly,109
0,"è bellissimo sentire i commenti delle persone grandi sul momento della loro vaccinazione. servizio,gentilezza degli operatori sanitari e grande soddisfazione x avere ricevuto a loro tutela la salvezza. siamo in #emiliaromagna",110
0,"oh sentite io mi sono truccata figa, magari rimorchio qualche militare al vaccino",111
0,"user user_ spiegazione:classe di età &gt;50 vaccinati 95% non vaccinati 5% : il rapporto è 19:1 tabella: morti: vaccinati  279 non vaccinati 131: il rapporto è 2.2:1.  quindi il vaccino ha protetto gli over 50,anche se il  numero dei loro morti è superiore a quello dei non vaccinati.",112
2,"user user lobbligo del vaccino preclude solo se vi e' una pandemia,fatto e ke se si cerka sul web ilvirus sarsa nn e pandemico perke nn letale ,xessere letale ki e contagiato deve morire ,invece il sarsa ,nn e letale colpisce i + emaciati con altre patologie e vecci over 80",113
2,"covid-19. l'oms continua a stupire per la grande confusione e contraddizione dei suoi membri. e' preoccupata e dubbiosa per l'efficacia dei vaccini sulla 'variante inglese'. però consiglia di accelerare la vaccinazione, che ormai è inutile per la vecchia influenza passata,",114
2,"assassini! lorenzo si era anche sottoposto al vaccino anti-covid, lo scorso 5 giugno. una scomparsa la sua che sconvolge la comunità, stretta intorno ai genitori",115
1,"mentre le #bigpharma registrano guadagni da capogiro, il #wto si incontra per parlare della sospensione dei #brevetti sui #vaccini anti #covid. ecco cosa potrebbe succedere senza un accesso equo ai vaccini #covax #omc #oms link",116
1,user coglione infame imbroglione ha votato a favore del passaporto vaccinale!!!!  infame lo sai che questo significa che l economia italiana crollerà a picco! perché i vaccini in italia non ci sono e non arrivano prima di natale  ! ciò significa che  il turismo italiano è morto! munez,117
0,user perché le case famiglia e le comunità alloggio di roma sono rimaste senza vaccino?  le persone fragili residenti continuano ad ammalarsi nonostante vivano in sostanziale lockdown da un anno! intanto c'è una petizione link via user,118
1,ma i vip/politici lo sanno che possono fare il vaccino anche senza darci la prova con i selfie? viviamo benissimo anche senza.,119
1,"non una signora che dopo il vaccino se n'è uscita con ""mah la seconda dose pu fistinu"" cioè la festa patronale mi piscio addosso",120
0,sii utile a te stesso e agli altri vatti a vaccinare.#vaccinatevi l'alternativa non c'è,121
0,.... aspettando il turno per il vaccino ma porca troooota perché al mio comune fan tutti schifo aooooo datelo a tutti wtf,122
1,"un nuovo articolo: (vaccini covid, da domani in sicilia prenotazioni per i ragazzi dai 12 ai 15 anni) è stato pubblicato su: tempo stretto - ultime notizie da messina e reggio calabria - link link",123
1,"vaccini lazio, ripartono le prime dosi: la chiusura degli hub ora slitta a ferragosto - link link",124
1,#covid19 #coronavirus dati in #toscana #9giugno ▪️ 127 nuovi casi ▪️ 15.898 tamponi eseguiti ▪️ 341 ricoverati (-33 da ieri) ▪️ 80 in terapia intensiva (-4 da ieri) ▪️ 9 decessi (6.784 totali) ▪️ 230.765 guarigioni (+425 da ieri) ▪️ 2.390.805 vaccinazioni link link,125
0,user user_vanpelt a breve sarete tutti sistemati con il vaccino obbligatorio.,126
0,"user chi sceglie di non vaccinarsi è come quello che non rispetta il divieto di sosta e di fermata nei giorni di mercato. chi si è vaccinato ha pagato il suolo pubblico e si è iscritto alla camera di commercio, e loro ne approfittano a sbafo.",127
1,"0,5% vaccinati media per tutta l'africa, 15-20% media europa dell'est. perche' temete l'immigrazione? moriranno tutti, no?",128
2,aprite questa pagina e notate come i commenti ammessi sono solo quelli favorevoli a questa vergognosa iniziativa. e' censura vera e propria della libertà di pensiero e di espressione perpetrata giornalmente dal user_it  #nazipass #nazivax link,129
1,"user user ma lo vogliamo capire che il virus non verrà sconfitto dai vaccini ,che servono per evitare di prendere il covid in forma lieve o comunque non mortale",130
1,"prima è mutato il virus, adesso su twitter mutano anche i vaccini. l'hashtag #astrazeneca diventa #astrazenaca e diventa virale.",131
